split,policy_name,policy_label,start_tax_transition_bucket,start_tax_transition_bucket_order,num_episodes,mean_start_days_to_tax_transition,median_start_days_to_tax_transition,mean_pct_original_sold_before_long_term,mean_pct_original_sold_at_or_after_long_term,pct_episodes_with_no_discretionary_sale,mean_final_after_tax_total_value,mean_excess_final_after_tax_value_vs_hold
test,hold_to_terminal,Passive hold-to-terminal,0_to_30_days,0,299,11.117056856187292,9.0,0.0,100.0,100.0,0.5886077723636893,0.0
test,hold_to_terminal,Passive hold-to-terminal,31_to_60_days,1,145,43.92413793103448,44.0,0.0,100.0,100.0,0.5377432628968563,0.0
test,hold_to_terminal,Passive hold-to-terminal,61_to_90_days,2,157,74.45222929936305,75.0,0.0,100.0,100.0,0.49641780152736764,0.0
test,hold_to_terminal,Passive hold-to-terminal,91_to_120_days,3,138,105.48550724637681,105.0,0.0,100.0,100.0,0.5561419558853598,0.0
test,hold_to_terminal,Passive hold-to-terminal,121_to_180_days,4,187,148.42245989304814,147.0,0.0,100.0,100.0,0.48202039494173693,0.0
test,hold_to_terminal,Passive hold-to-terminal,over_180_days,5,593,269.6779089376054,272.0,0.0,100.0,100.0,0.45077789994691797,0.0
test,sell_immediately,Naive active: sell immediately,0_to_30_days,0,299,11.117056856187292,9.0,88.62876254180601,11.37123745819398,0.0,0.5294060450415992,-0.05920172732209021
test,sell_immediately,Naive active: sell immediately,31_to_60_days,1,145,43.92413793103448,44.0,100.0,0.0,0.0,0.4472363190851185,-0.09050694381173768
test,sell_immediately,Naive active: sell immediately,61_to_90_days,2,157,74.45222929936305,75.0,100.0,0.0,0.0,0.4081447247008979,-0.0882730768264697
test,sell_immediately,Naive active: sell immediately,91_to_120_days,3,138,105.48550724637681,105.0,100.0,0.0,0.0,0.44103103974041935,-0.11511091614494046
test,sell_immediately,Naive active: sell immediately,121_to_180_days,4,187,148.42245989304814,147.0,100.0,0.0,0.0,0.3924749616588922,-0.08954543328284476
test,sell_immediately,Naive active: sell immediately,over_180_days,5,593,269.6779089376054,272.0,100.0,0.0,0.0,0.2992768461421944,-0.15150105380472356
test,sell_half_then_hold,Naive active: sell half then hold,0_to_30_days,0,299,11.117056856187292,9.0,44.314381270903006,55.68561872909699,0.0,0.5590069087026442,-0.029600863661045106
test,sell_half_then_hold,Naive active: sell half then hold,31_to_60_days,1,145,43.92413793103448,44.0,50.0,50.0,0.0,0.49248979099098744,-0.04525347190586883
test,sell_half_then_hold,Naive active: sell half then hold,61_to_90_days,2,157,74.45222929936305,75.0,50.0,50.0,0.0,0.4522812631141328,-0.04413653841323485
test,sell_half_then_hold,Naive active: sell half then hold,91_to_120_days,3,138,105.48550724637681,105.0,50.0,50.0,0.0,0.4985864978128896,-0.05755545807247022
test,sell_half_then_hold,Naive active: sell half then hold,121_to_180_days,4,187,148.42245989304814,147.0,50.0,50.0,0.0,0.4372476783003145,-0.04477271664142238
test,sell_half_then_hold,Naive active: sell half then hold,over_180_days,5,593,269.6779089376054,272.0,50.0,50.0,0.0,0.37502737304455624,-0.07575052690236178
test,sell_quarters_over_time,Naive active: sell quarters,0_to_30_days,0,299,11.117056856187292,9.0,73.91304347826086,26.08695652173913,0.0,0.5390268242828054,-0.049580948080884105
test,sell_quarters_over_time,Naive active: sell quarters,31_to_60_days,1,145,43.92413793103448,44.0,100.0,0.0,0.0,0.45082199314965704,-0.0869212697471992
