split,comparison_scope,feature,feature_group,n_sell_or_trigger_steps,n_hold_steps,mean_on_sell_or_trigger_steps,mean_on_hold_steps,median_on_sell_or_trigger_steps,median_on_hold_steps,difference_in_means,standardized_difference
test,sell_steps_vs_hold_steps,USD_CNY_Close,macro_market,1434,84382,0.019192328277188735,-0.06495329081057918,0.10964844736924234,-0.013310486985059879,0.08414561908776792,0.07861334250145299
test,sell_steps_vs_hold_steps,PC6,pca_feature,1434,84382,0.1921802759754529,-0.1774580759956192,-1.0690810254807568,-0.2589473040281023,0.3696383519710721,0.0718200475620483
test,sell_steps_vs_hold_steps,PC3,pca_feature,1434,84382,0.28641568887275065,-0.07375615727388735,0.21726708621767235,-0.11715867680129215,0.360171846146638,0.07105014349822296
test,sell_steps_vs_hold_steps,ema_5,technical_indicator,1434,84382,1.0322806882749354,0.9547017133103735,1.2962492834397221,1.0897725943737155,0.0775789749645619,0.06454165040159493
test,sell_steps_vs_hold_steps,sma_5,technical_indicator,1434,84382,1.0180535025321027,0.9494896434810515,1.2834994431984672,1.0816201271650256,0.06856385905105122,0.05670722641641016
test,sell_steps_vs_hold_steps,Semiconductor_Close,macro_market,1434,84382,0.09764371372173088,0.0043198403473525505,-0.05162937570280348,0.02039831645417672,0.09332387337437832,0.051813917841802275
test,sell_steps_vs_hold_steps,PC9,pca_feature,1434,84382,-0.01826387870814561,-0.16079578817441484,0.7637917693847261,-0.12798683307654904,0.14253190946626923,0.04423288935122158
test,sell_steps_vs_hold_steps,PC2,pca_feature,1434,84382,-0.3879552904568192,-0.09696304928554086,-0.3445838262246385,-0.16926253342546843,-0.2909922411712783,-0.030196903615473763
validation,sell_steps_vs_hold_steps,VIX_Close,macro_market,1489,111072,-0.433874113908677,-0.6045341848606758,-0.8859954792808092,-0.9326442215519392,0.1706600709519988,0.14491385451384003
validation,sell_steps_vs_hold_steps,days_to_tax_transition_norm,tax_timing,1489,111072,0.29398051464161845,0.37109925981616765,0.3041095890410959,0.35342465753424657,-0.0771187451745492,-0.33422721628768287
validation,sell_steps_vs_hold_steps,PC8,pca_feature,1489,111072,-1.3282331745810936,0.09655669108728943,-0.19066333202739819,0.1256718781537166,-1.424789865668383,-0.3853842100232162
