split,feature,feature_group,n_obs,mean_abs_change_in_q_margin,median_abs_change_in_q_margin,mean_signed_change_in_q_margin,pct_sign_flip,pct_threshold_flip_0p020,pct_threshold_flip_0p070,random_seed
test,EUR_USD_Close,macro_market,85820,0.008322132465405079,0.0046903714537620544,0.0008525927640403054,0.033768352365415984,0.01500815660685155,0.0021207177814029365,42
test,sma_20,technical_indicator,85820,0.00827879100745842,0.00474490225315094,0.001464429837387846,0.03937310650198089,0.01933115823817292,0.003087858308086693,42
test,Wheat_Close,macro_market,85820,0.008172991855892146,0.004693083465099335,-4.3859743354509994e-05,0.03380330925192263,0.014343975763225355,0.002761594034024703,42
test,macd,technical_indicator,85820,0.008154614825466696,0.004859216511249542,-7.989044971651226e-06,0.03665812164996504,0.017187135865765556,0.0021207177814029365,42
test,VIX_Close,macro_market,85820,0.007935846721000563,0.00406946986913681,0.00089611049672162,0.03412957352598462,0.01835236541598695,0.0033908179911442556,42
test,USD_JPN_Close,macro_market,85820,0.00790504260571746,0.004373278468847275,-9.472180318835696e-05,0.03403635516196691,0.015485900722442322,0.00290142158005127,42
test,SPY_Close,macro_market,85820,0.007710208627048067,0.004030732437968254,-0.0002849632412430912,0.033593567932882776,0.017664879981356327,0.002551852714984852,42
test,WTI_Close,macro_market,85820,0.007689883634262482,0.004369165748357773,0.000528356278842813,0.03226520624563039,0.014728501514798415,0.0021207177814029365,42
test,USD_CNY_Close,macro_market,85820,0.005982044456691371,0.0028915759176015854,-6.940736610288735e-06,0.023362852481938944,0.011244465159636449,0.0023304591004427873,42
test,unrealized_gain_pct_norm,pnl_gain_path,85820,0.003901240148362787,0.002071283757686615,0.00013781266592020194,0.014670240037287346,0.006152412025168958,0.0008622698671638312,42
validation,PC1,pca_feature,112570,0.027251973888315007,0.019193485379219055,0.0030187516776738798,0.1489562050279826,0.07322554854757041,0.012223505374433686,42
validation,PC2,pca_feature,112570,0.01901128249541526,0.012196619063615799,0.00029019436376349515,0.10101270320689348,0.05105267833348139,0.007941725148796305,42
validation,PC4,pca_feature,112570,0.01676353934255552,0.009843766689300537,-3.344791122621437e-05,0.08957093364128986,0.044647774717953274,0.005889668650617394,42
validation,PC3,pca_feature,112570,0.018346837449121328,0.01156521588563919,0.0005865875458266386,0.09484765035089278,0.050777294128098074,0.010509016611885937,42
validation,PC6,pca_feature,112570,0.016496228908414585,0.010080121457576752,0.0001765396075057321,0.08633739006840188,0.04693968197565959,0.009105445500577418,42
validation,PC5,pca_feature,112570,0.014432228871247156,0.008518785238265991,0.000500178913463149,0.08089188949098339,0.04144088122945723,0.006929021941902816,42
validation,PC7,pca_feature,112570,0.013621501646917904,0.008033557794988155,-0.0008624016310686412,0.06789553166918362,0.033046104645998046,0.00586301856622546,42
validation,bb_lower,technical_indicator,112570,0.014533624465804737,0.008530007675290108,-0.001306475881030281,0.07202629474993337,0.04037487785377987,0.006822421604335081,42
validation,PC8,pca_feature,112570,0.013462147908148751,0.007837291806936264,-0.0006649995269390359,0.06786888158479168,0.03514257795149685,0.00590743537354535,42
validation,macd_signal,technical_indicator,112570,0.013680880379011266,0.008048392832279205,-0.0011060450139178425,0.06030025761748246,0.029910278049213822,0.0050190992271475525,42
validation,ema_50,technical_indicator,112570,0.01269475651974519,0.007337847724556923,-0.00033880204587454713,0.05573420982499778,0.025806165052856,0.003908679044150307,42
validation,PC9,pca_feature,112570,0.013242811940971454,0.007952053099870682,0.0005146545451862491,0.06706049569156969,0.03106511503953096,0.0065292706760238075,42
validation,sma_50,technical_indicator,112570,0.012322812307531033,0.007199816405773163,0.001058680951945928,0.06265434840543661,0.032211068668384114,0.0050635160344674425,42
validation,days_to_tax_transition_norm,tax_timing,112570,0.012781580689835504,0.007814973592758179,-0.0002948609471512715,0.05328240206093986,0.025592964377720528,0.003491161055343342,42
validation,rsi_14,technical_indicator,112570,0.012656139570000119,0.0074147386476397514,0.0007302536245529295,0.06597672559296437,0.03477836013147375,0.005214533179355068,42
validation,PC10,pca_feature,112570,0.012424664666926747,0.00741257518529892,-0.0005191044899293082,0.06413786976992093,0.03223771875277605,0.004219596695389536,42
validation,macd_hist,technical_indicator,112570,0.010602644542947381,0.006160661578178406,0.0012729399235858888,0.04921382251043795,0.023194456782446478,0.003482277693879364,42
validation,sma_10,technical_indicator,112570,0.009010818823546974,0.005107846111059189,0.001664013349916248,0.04390157235497912,0.02253708803411211,0.004423914009061029,42
validation,ema_5,technical_indicator,112570,0.008986109480701278,0.005249530076980591,-0.0006953620952201192,0.0444345740428178,0.022723638624855644,0.0033667939948476503,42
validation,sma_5,technical_indicator,112570,0.008781486042364693,0.005229676142334938,0.0008160728458855379,0.04716176601225904,0.021941902816025583,0.004192946610997602,42
validation,bb_middle,technical_indicator,112570,0.008671968369854753,0.005140108987689018,0.0007806776653894336,0.04300435284711735,0.020174113884693968,0.0030114595362885316,42
validation,Gold_Close,macro_market,112570,0.008039301506339533,0.0046074166893959045,0.0005861696472132202,0.04250688460513458,0.02218175357555299,0.00345562760948743,42
validation,ema_10,technical_indicator,112570,0.0090439611354652,0.005463726818561554,0.001508270385640798,0.049569156968997066,0.026579017500222082,0.004166296526605668,42
validation,Semiconductor_Close,macro_market,112570,0.00807549376838034,0.004562972113490105,0.001353796966118028,0.04288886914808564,0.02383405880785289,0.004494980900772852,42
validation,bb_upper,technical_indicator,112570,0.008061820962063804,0.0047202929854393005,0.00042555759433963704,0.04261348494270232,0.02147996801989873,0.0029759260904326196,42
validation,ema_20,technical_indicator,112570,0.007948409212987558,0.004679862409830093,0.0005415491477968637,0.0402416274318202,0.018957093364128985,0.0027360753309052144,42
validation,EUR_USD_Close,macro_market,112570,0.009135372104318319,0.005072787404060364,0.0012312837170875958,0.04364395487252376,0.02203961979212934,0.004397263924669095,42
validation,sma_20,technical_indicator,112570,0.008059162857659834,0.0046124085783958435,0.0012282483050556011,0.04350182108910011,0.02152438482721862,0.0027449586923691924,42
validation,Wheat_Close,macro_market,112570,0.008091115719075602,0.004497312009334564,-1.2444028368755344e-05,0.03980634272008528,0.018139824109443013,0.0032246602114240027,42
validation,macd,technical_indicator,112570,0.0078744096419854,0.004643872380256653,0.00014436325321886203,0.041103313493826066,0.020236297414941814,0.002913742560184774,42
validation,VIX_Close,macro_market,112570,0.008831319015775847,0.004718514159321785,0.0009310174292910497,0.0474993337478902,0.023301057120014214,0.0032690770187438927,42
validation,USD_JPN_Close,macro_market,112570,0.008609868655265194,0.004683066159486771,0.00020970714693341165,0.04817446921915253,0.02455361108643511,0.003908679044150307,42
validation,SPY_Close,macro_market,112570,0.0069635814947949055,0.0038858428597450256,-0.0002347697272833559,0.03373900684018833,0.016700719552278583,0.0027360753309052144,42
validation,WTI_Close,macro_market,112570,0.007127351662852009,0.003921005874872208,0.0002967865424405426,0.03534689526516834,0.01680731988984632,0.0025672914630896332,42
validation,USD_CNY_Close,macro_market,112570,0.0076637728005296704,0.003982605412602425,-0.0001310560915559071,0.035471262325664034,0.01806875721773119,0.002851559029936928,42
validation,unrealized_gain_pct_norm,pnl_gain_path,112570,0.004704577818436306,0.002458568662405014,0.0002091904825971829,0.024402593941547483,0.011957004530514346,0.0015457048947321666,42
