split,feature,feature_group,n_obs,pearson_corr,spearman_corr,mean_feature_value,std_feature_value
validation,sma_50,technical_indicator,112570,-0.11528685208771262,-0.10520880763743475,0.6544091962366099,1.3163318998332632
validation,unrealized_gain_pct_norm,pnl_gain_path,112570,-0.12004322518169241,-0.10148306570256617,0.5737560256782758,0.2753346173625174
validation,PC1,pca_feature,112570,0.0031193989266457053,-0.024454746418852244,-0.18990962842935763,16.6712246766583
validation,PC9,pca_feature,112570,-0.036502525473193076,-0.04902797843512469,0.06889673148199335,2.289922642622823
validation,PC3,pca_feature,112570,-0.0315405033704432,-0.015494598229431292,-0.25833559678804086,5.448858733329025
validation,PC10,pca_feature,112570,0.12698231450594516,0.11625202149055366,-0.06385725454079723,2.312204144546602
validation,PC8,pca_feature,112570,-0.02941486092609759,-0.002335887840893565,0.07756037975520107,2.644488321925747
validation,rsi_14,technical_indicator,112570,-0.022930435135392894,-0.031899607075116895,0.14061438683800884,1.0798701451210169
validation,Wheat_Close,macro_market,112570,-0.006912842524924571,0.0057658579969796005,-0.010282316217582218,0.9528600664436154
validation,USD_CNY_Close,macro_market,112570,0.11747300664976575,0.1421994678421962,0.02186396711599739,1.0499211718097736
validation,PC6,pca_feature,112570,0.07737354075496942,0.09982132698324757,0.10667538987232328,3.1970072067175526
validation,EUR_USD_Close,macro_market,112570,-0.06711349935326477,-0.09320733975340569,0.005388179893001119,0.981023288387677
validation,USD_JPN_Close,macro_market,112570,0.007454539311980966,0.02612869065279514,-0.0022731195602766073,1.1012806855660684
validation,Gold_Close,macro_market,112570,-0.07982392730410388,-0.07417825249346871,0.025571152548593042,1.0028041217908301
validation,PC5,pca_feature,112570,-0.0072446240988908416,0.0002967564236552087,0.10460012681447665,3.3354789955874318
